TimestampSw,TimestampHw,Raw,Filtered
1679349615046,272695434.000,17217.000,71.000
1679349615079,272715454.000,17145.000,60.000
1679349615095,272735473.000,17145.000,41.000
1679349615110,272755493.000,17086.000,18.000
1679349615126,272775512.000,17086.000,-6.000
1679349615158,272795532.000,17076.000,-26.000
1679349615173,272815551.000,17076.000,-41.000
1679349615189,272835571.000,17074.000,-51.000
1679349615220,272855590.000,17074.000,-58.000
1679349615237,272875610.000,17083.000,-60.000
1679349615252,272895629.000,17083.000,-60.000
1679349615268,272915679.000,17097.000,-56.000
1679349615301,272935699.000,17097.000,-50.000
1679349615319,272955688.000,17103.000,-44.000
1679349615331,272975708.000,17103.000,-38.000
1679349615347,272995727.000,17105.000,-32.000
1679349615380,273015747.000,17105.000,-27.000
1679349615396,273035766.000,17103.000,-24.000
1679349615411,273055786.000,17103.000,-21.000
1679349615427,273075805.000,17100.000,-18.000
1679349615461,273095825.000,17100.000,-17.000
1679349615475,273115844.000,17111.000,-14.000
1679349615491,273135864.000,17111.000,-10.000
1679349615522,273155914.000,17137.000,-3.000
1679349615539,273175933.000,17137.000,4.000
1679349615553,273195953.000,17154.000,13.000
1679349615569,273215942.000,17154.000,21.000
1679349615600,273235961.000,17160.000,27.000
1679349615617,273255981.000,17160.000,32.000
1679349615633,273276000.000,17175.000,37.000
1679349615648,273296020.000,17175.000,42.000
1679349615679,273316040.000,17183.000,46.000
1679349615696,273336059.000,17183.000,48.000
1679349615711,273356079.000,17190.000,50.000
1679349615728,273376098.000,17190.000,52.000
1679349615758,273396118.000,17202.000,53.000
1679349615774,273416137.000,17202.000,55.000
1679349615790,273436157.000,17216.000,57.000
1679349615821,273456176.000,17216.000,59.000
1679349615837,273476196.000,17199.000,57.000
1679349615852,273496215.000,17199.000,52.000
1679349615868,273516235.000,17123.000,37.000
1679349615899,273536285.000,17123.000,15.000
1679349615915,273556304.000,17086.000,-5.000
1679349615931,273576293.000,17086.000,-26.000
1679349615962,273596313.000,17095.000,-39.000
1679349615978,273616333.000,17095.000,-47.000
1679349615994,273636352.000,17097.000,-51.000
1679349616010,273656372.000,17097.000,-52.000
1679349616042,273676391.000,17103.000,-52.000
1679349616057,273696411.000,17103.000,-49.000
1679349616073,273716430.000,17119.000,-44.000
1679349616088,273736450.000,17119.000,-38.000
1679349616121,273756469.000,17121.000,-32.000
1679349616136,273776489.000,17121.000,-27.000
1679349616152,273796508.000,17120.000,-22.000
1679349616168,273816528.000,17120.000,-19.000
1679349616199,273836547.000,17120.000,-16.000
1679349616216,273856567.000,17120.000,-14.000
1679349616231,273876617.000,17138.000,-9.000
1679349616262,273896636.000,17138.000,-3.000
1679349616278,273916625.000,17154.000,2.000
1679349616295,273936645.000,17154.000,9.000
1679349616319,273956665.000,17169.000,16.000
1679349616342,273976684.000,17169.000,23.000
1679349616357,273996704.000,17185.000,29.000
1679349616373,274016723.000,17185.000,36.000
1679349616388,274036743.000,17195.000,41.000
1679349616420,274056762.000,17195.000,45.000
1679349616437,274076782.000,17202.000,48.000
1679349616452,274096801.000,17202.000,51.000
1679349616468,274116851.000,17211.000,53.000
1679349616499,274136871.000,17211.000,54.000
1679349616515,274156890.000,17222.000,55.000
1679349616530,274176910.000,17222.000,57.000
1679349616547,274196899.000,17239.000,59.000
1679349616579,274216918.000,17239.000,62.000
1679349616595,274236968.000,17234.000,62.000
1679349616611,274256958.000,17234.000,60.000
1679349616642,274276977.000,17160.000,47.000
1679349616659,274296997.000,17160.000,26.000
1679349616674,274317016.000,17111.000,4.000
1679349616690,274337036.000,17111.000,-17.000
1679349616723,274357055.000,17090.000,-37.000
1679349616737,274377075.000,17090.000,-53.000
1679349616754,274397094.000,17092.000,-63.000
1679349616769,274417114.000,17092.000,-69.000
1679349616801,274437133.000,17098.000,-71.000
1679349616816,274457153.000,17098.000,-70.000
1679349616833,274477172.000,17097.000,-68.000
1679349616848,274497192.000,17097.000,-65.000
1679349616880,274517242.000,17110.000,-60.000
1679349616896,274537261.000,17110.000,-54.000
1679349616911,274557250.000,17113.000,-47.000
1679349616943,274577270.000,17113.000,-41.000
1679349616959,274597290.000,17105.000,-37.000
1679349616975,274617309.000,17105.000,-34.000
1679349616991,274637329.000,17112.000,-31.000
1679349617022,274657348.000,17112.000,-26.000
1679349617039,274677398.000,17128.000,-21.000
1679349617054,274697387.000,17128.000,-14.000
1679349617075,274717407.000,17146.000,-6.000
1679349617102,274737426.000,17146.000,1.000
1679349617118,274757446.000,17161.000,9.000
1679349617133,274777465.000,17161.000,17.000
1679349617149,274797485.000,17171.000,23.000
1679349617181,274817504.000,17171.000,29.000
1679349617197,274837524.000,17184.000,34.000
1679349617213,274857543.000,17184.000,39.000
1679349617237,274877593.000,17188.000,43.000
1679349617262,274897613.000,17188.000,45.000
1679349617276,274917602.000,17198.000,46.000
1679349617293,274937622.000,17198.000,48.000
1679349617324,274957641.000,17204.000,49.000
1679349617340,274977661.000,17204.000,50.000
1679349617356,274997680.000,17222.000,52.000
1679349617372,275017700.000,17222.000,55.000
1679349617403,275037719.000,17222.000,55.000
1679349617419,275057739.000,17212.000,54.000
1679349617435,275077758.000,17212.000,50.000
1679349617452,275097778.000,17130.000,35.000
1679349617484,275117828.000,17130.000,12.000
1679349617498,275137847.000,17074.000,-12.000
1679349617514,275157867.000,17074.000,-37.000
1679349617530,275177886.000,17049.000,-58.000
1679349617562,275197875.000,17049.000,-75.000
1679349617577,275217895.000,17052.000,-86.000
